site name	easting in m	northing in m
A01	-22500	22500
A02	-17500	22500
A03	-12500	22500
A04	-7500	22500
A05	-2500	22500
A06	2500	22500
A07	7500	22500
A08	12500	22500
A09	17500	22500
A10	22500	22500
B01	-22500	17500
B02	-17500	17500
B03	-12500	17500
B04	-7500	17500
B05	-2500	17500
B06	2500	17500
B07	7500	17500
B08	12500	17500
B09	17500	17500
B10	22500	17500
C01	-22500	12500
C02	-17500	12500
C03	-12500	12500
C04	-7500	12500
C05	-2500	12500
C06	2500	12500
C07	7500	12500
C08	12500	12500
C09	17500	12500
C10	22500	12500
D01	-22500	7500
D02	-17500	7500
D03	-12500	7500
D04	-7500	7500
D05	-2500	7500
D06	2500	7500
D07	7500	7500
D08	12500	7500
D09	17500	7500
D10	22500	7500
E01	-22500	2500
E02	-17500	2500
E03	-12500	2500
E04	-7500	2500
E05	-2500	2500
E06	2500	2500
E07	7500	2500
E08	12500	2500
E09	17500	2500
E10	22500	2500
F01	-22500	-2500
F02	-17500	-2500
F03	-12500	-2500
F04	-7500	-2500
F05	-2500	-2500
F06	2500	-2500
F07	7500	-2500
F08	12500	-2500
F09	17500	-2500
F10	22500	-2500
G01	-22500	-7500
G02	-17500	-7500
G03	-12500	-7500
G04	-7500	-7500
G05	-2500	-7500
G06	2500	-7500
G07	7500	-7500
G08	12500	-7500
G09	17500	-7500
G10	22500	-7500
H01	-22500	-12500
H02	-17500	-12500
H03	-12500	-12500
H04	-7500	-12500
H05	-2500	-12500
H06	2500	-12500
H07	7500	-12500
H08	12500	-12500
H09	17500	-12500
H10	22500	-12500
I01	-22500	-17500
I02	-17500	-17500
I03	-12500	-17500
I04	-7500	-17500
I05	-2500	-17500
I06	2500	-17500
I07	7500	-17500
I08	12500	-17500
I09	17500	-17500
I10	22500	-17500
J01	-22500	-22500
J02	-17500	-22500
J03	-12500	-22500
J04	-7500	-22500
J05	-2500	-22500
J06	2500	-22500
J07	7500	-22500
J08	12500	-22500
J09	17500	-22500
J10	22500	-22500
